title,storyline,director,actors,genre,rating,votes,duration
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams","Body Horror, Dark Comedy, Monster Horror",7.2,351K,2h 21m(141 min)
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",Mike Flanagan,"Tom Hiddleston, Jacob Tremblay, Benjamin Pajak, Cody Flanagan, Chiwetel Ejiofor","Drama, Fantasy, Sci-Fi",7.3,39K,1h 51m(111 min)
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe","Dark Fantasy, Folk Horror, Supernatural Horror",7.2,242K,2h 12m(132 min)
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,Scott Beck,"Hugh Grant, Sophie Thatcher, Chloe East, Topher Grace, Elle Young","Psychological Horror, Psychological Thriller, Horror",7.0,198K,1h 51m(111 min)
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood, Alicia Witt, Michelle Choi-Lee","Psychological Horror, Psychological Thriller, Serial Killer",6.6,208K,1h 41m(101 min)
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",Mercedes Bryce Morgan,"Alex Roe, Maddie Hasson, Marco Pigossi, Andra Nechita, Clayton Spencer","Erotic Thriller, Psychological Horror, Psychological Thriller",6.1,1.5K,1h 34m(94 min)
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",Max Minghella,"Elizabeth Berkley, Leanne Suter, Kate Hudson, Elisabeth Moss, Kaia Gerber","Body Horror, Comedy, Horror",4.9,1.2K,1h 40m(100 min)
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey","Fairy Tale, Pop Musical, Fantasy",7.4,187K,2h 40m(160 min)
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov, Lindsey Normington, Emily Weider","Dark Comedy, Raunchy Comedy, Steamy Romance",7.4,231K,2h 19m(139 min)
All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.,William Bridges,"Imogen Poots, Brett Goldstein, Rebecca Osias, Kadiesha Belgrave, Zawe Ashton",Drama,6.3,6K,1h 38m(98 min)
